PM128	HASPARREN	SRO-BPI-11528574
PM129	HASPARREN	SRO-BPI-11528695
PM130	HASPARREN	SRO-BPI-11528777
PM131	HASPARREN	SRO-BPI-11528855
PM132	HASPARREN	SRO-BPI-11528977
PM133	HASPARREN	SRO-BPI-11529054
PM134	HASPARREN	SRO-BPI-11529176
PM135	HASPARREN	SRO-BPI-11529279
PM136	HASPARREN	SRO-BPI-11529334
PM137	ISTURITS	SRO-BPI-11545696
PM139	ST ETIENNE DE BAIGORRY	SRO-BPI-11549854
PM140	ST ETIENNE DE BAIGORRY	SRO-BPI-11549996
PM141	ST ETIENNE DE BAIGORRY	SRO-BPI-11550177
PM142	ST ETIENNE DE BAIGORRY	SRO-BPI-11550279
PM143	IROULEGUY	SRO-BPI-11552544
PM144	ANHAUX	SRO-BPI-11552716
PM145	ST JEAN LE VIEUX	SRO-BPI-11557043
PM146	JAXU	SRO-BPI-11556578
PM147	ST JEAN LE VIEUX	SRO-BPI-11557315
PM149	ISPOURE	SRO-BPI-11556398
PM150	ST JEAN PIED DE PORT	SRO-BPI-11549336
PM151	ST JEAN PIED DE PORT	SRO-BPI-11549381
PM152	ST JEAN PIED DE PORT	SRO-BPI-11549474
PM153	ST JEAN PIED DE PORT	SRO-BPI-11549500
PM154	UHART CIZE	SRO-BPI-11557415
PM155	UHART CIZE	SRO-BPI-11557618
PM156	UHART CIZE	SRO-BPI-11739615
PM157	ST JEAN PIED DE PORT	SRO-BPI-11549534
PM158	ASCARAT	SRO-BPI-11770094
PM159	ASCARAT	SRO-BPI-11556226
PM160	URRUGNE	SRO-BPI-11740116
PM161	URRUGNE	SRO-BPI-11766054
PM162	URRUGNE	SRO-BPI-11765518
PM163	URRUGNE	SRO-BPI-11740174
PM164	URRUGNE	SRO-BPI-11740315
PM165	URRUGNE	SRO-BPI-11740354
PM166	AINHICE MONGELOS	SRO-BPI-11832474
PM167	URT	SRO-BPI-12104419
PM168	URT	SRO-BPI-12104437
PM169	URT	SRO-BPI-12104519
PM170	URT	SRO-BPI-12104619
PM171	BRISCOUS	SRO-BPI-12270822
PM172	BRISCOUS	SRO-BPI-12270677
PM173	BRISCOUS	SRO-BPI-12270938
PM174	BRISCOUS	SRO-BPI-12270647
PM175	LAHONCE	SRO-BPI-12398258
PM176	LAHONCE	SRO-BPI-12398218
PM178	LAHONCE	SRO-BPI-12398297
PM179	LOUHOSSOA	SRO-BPI-11961077
PM180	LOUHOSSOA	SRO-BPI-11961114
PM181	MACAYE	SRO-BPI-11952135
PM182	BIDARRAY	SRO-BPI-12033914
PM183	BIDARRAY	SRO-BPI-13306637
PM184	SAINT-MARTIN-D'ARROSSA	SRO-BPI-12033954
PM185	OSSES	SRO-BPI-11962955
PM186	OSSES	SRO-BPI-11962994
PM187	URCUIT	SRO-BPI-12112977
PM188	URCUIT	SRO-BPI-12113057
PM189	URCUIT	SRO-BPI-12113076
PM190	URCUIT	SRO-BPI-12113176
PM191	GABAT	SRO-BPI-11876134
PM192	AICIRITS-CAMOU-SUHAST	SRO-BPI-11861054
PM193	AMENDEUIX-ONEIX	SRO-BPI-11852574
PM194	ARBERATS-SILLEGUE	SRO-BPI-11861974
PM196	BEGUIOS	SRO-BPI-11864978
PM197	SAINT-PALAIS	SRO-BPI-11876375
PM198	SAINT-PALAIS	SRO-BPI-11876574
PM199	DOMEZAIN-BERRAUTE	SRO-BPI-11867075
PM200	ETCHARRY	SRO-BPI-11868115
PM201	GARRIS	SRO-BPI-11853496
PM202	BEYRIE SUR JOYEUSE	SRO-BPI-12496681
PM203	SAINT-PALAIS	SRO-BPI-11876674
PM204	SAINT-PALAIS	SRO-BPI-11876775
PM205	SAINT-PALAIS	SRO-BPI-11876996
PM206	SAINT-PALAIS	SRO-BPI-11877014
PM207	SAUVETERRE-DE-BEARN	SRO-BPI-11903074
PM208	SAUVETERRE-DE-BEARN	SRO-BPI-11902994
PM209	SAUVETERRE-DE-BEARN	SRO-BPI-11903015
PM210	SAUVETERRE-DE-BEARN	SRO-BPI-11903034
PM211	GUINARTHE-PARENTIES	SRO-BPI-11906217
PM212	SAUVETERRE-DE-BEARN	SRO-BPI-11903096
PM213	BURGARONNE	SRO-BPI-11909574
PM214	CHARRITTE-DE-BAS	SRO-BPI-11909535
PM215	RIVEHAUTE	SRO-BPI-11827954
PM216	GESTAS	SRO-BPI-11909555
PM217	ORION	SRO-BPI-11909594
PM219	LOHITZUN-OYHERCQ	SRO-BPI-11899974
PM220	SAINT JUST IBARRE	SRO-BPI-11829455
PM221	OSTABAT-ASME	SRO-BPI-11902295
PM222	LARCEVEAU-ARROS-CIBITS	SRO-BPI-11951195
PM223	LARRIBAR-SORHAPURU	SRO-BPI-12185556
PM224	VIELLENAVE-DE-NAVARRENX	SRO-BPI-11863794
PM225	AUDAUX	SRO-BPI-11872416
PM226	MERITEIN	SRO-BPI-11826619
PM227	CASTETNAU-CAMBLONG	SRO-BPI-11872654
PM228	GURS	SRO-BPI-11859378
PM229	OGENNE-CAMPTORT	SRO-BPI-11872719
PM230	SUSMIOU	SRO-BPI-11957237
PM231	SUS	SRO-BPI-12031334
PM232	MONCAYOLLE-LARRORY-MENDIBIEU	SRO-BPI-11833575
PM233	ESTERENCUBY	SRO-BPI-11870943
PM234	LECUMBERRY	SRO-BPI-11871156
PM235	LECUMBERRY	SRO-BPI-11871136
PM236	SALIES-DE-BEARN	SRO-BPI-11834935
PM237	SALIES-DE-BEARN	SRO-BPI-11834975
PM238	SALIES-DE-BEARN	SRO-BPI-11834996
PM239	SALIES-DE-BEARN	SRO-BPI-11835075
PM240	AUTERRIVE	SRO-BPI-11860495
PM241	SALIES-DE-BEARN	SRO-BPI-11835080
PM242	CARRESSE-CASSABER	SRO-BPI-11856895
PM243	SALIES-DE-BEARN	SRO-BPI-11835134
PM244	SALIES-DE-BEARN	SRO-BPI-11835155
PM245	SALIES-DE-BEARN	SRO-BPI-11835196
PM246	SALIES-DE-BEARN	SRO-BPI-11835216
PM247	SALIES-DE-BEARN	SRO-BPI-11835238
PM248	SALIES-DE-BEARN	SRO-BPI-11836456
PM249	SALIES-DE-BEARN	SRO-BPI-11835317
PM250	SALIES-DE-BEARN	SRO-BPI-11835335
PM251	SALIES-DE-BEARN	SRO-BPI-11835354
PM252	SALIES-DE-BEARN	SRO-BPI-11835374
PM253	CASTETBON	SRO-BPI-12177876
PM254	NAVARRENX	SRO-BPI-12310016
PM255	NAVARRENX	SRO-BPI-12310037
PM256	BIDACHE	SRO-BPI-12122876
PM257	BIDACHE	SRO-BPI-12122916
PM259	BIDACHE	SRO-BPI-12122936
PM260	CAME	SRO-BPI-12122956
PM261	SAINTE ENGRACE	SRO-BPI-12074636
PM262	LARRAU	SRO-BPI-12276137
PM263	LICQ-ATHEREY	SRO-BPI-12078060
PM264	ALCAY-ALCABEHETY-SUNHARETTE	SRO-BPI-12071717
PM265	ALOS-SIBAS-ABENS	SRO-BPI-12079236
PM266	ALOS-SIBAS-ABENS	SRO-BPI-12079178
PM267	SAUGUIS-SAINT-ETIENNE	SRO-BPI-12072856
PM268	MENDITTE	SRO-BPI-12113096
PM269	ORDIARP	SRO-BPI-12113236
PM270	MAULEON-LICHARRE	SRO-BPI-12146217
PM271	GARINDEIN	SRO-BPI-12146440
PM272	MAULEON-LICHARRE	SRO-BPI-12146136
PM273	MAULEON-LICHARRE	SRO-BPI-12146256
PM274	MAULEON-LICHARRE	SRO-BPI-12146381
PM275	MAULEON-LICHARRE	SRO-BPI-12146382
